0;0;0;0
3;-0.9;9.3;8
12;-1.1;9.4;5
14;-1.7;8.6;5
12;-2.1;6.6;8
12;-2.4;4.5;7
11;-2.8;1.7;10
12;-4;1.6;3
13;-2.4;1.7;3
8;-1;2.7;13
3;0;0.8;9
3;0.7;2.5;5
6;1.7;1.4;9
8;2.8;2.1;5
5;3.7;2.1;3
5;4.6;3.4;4
8;5.2;2.6;8
7;4.9;1;6
10;4.1;2;6
3;2.3;0.6;4
3;1.6;1.9;13
13;0.6;2;12
9;0.2;2.5;12
5;-0.3;2.2;26
9;-0.7;2.8;18
5;-1;3.2;19
3;-1.5;1;12
4;-1.6;2.1;18
8;-2;1.4;32
6;-2.5;1.7;43
6;-3.1;0.7;49
4;-2.8;0.9;38
13;-2.7;1.3;52
12;-1.5;1.6;69
12;-0.4;1.7;96
26;0.7;0.5;108
18;1.6;1.6;130
19;2.1;1.1;125
12;2.8;1;96
18;3.1;1.2;84
32;3.2;0.5;80
43;3.1;1.8;81
49;2.2;1.4;120
38;1.7;1.5;88
52;1.1;1.3;92
69;0.7;1.4;113
96;-0.1;0.8;99
108;-0.2;1;88
130;-0.9;1.6;85
125;-1.2;1.4;95
96;-2.1;1;109
84;-3.8;0.2;99
80;-4.6;0.1;70
81;-3.8;1.1;45
120;-5.3;1.1;41
88;-4.1;0.8;42
92;-2.6;1.4;39
113;-0.1;2.1;26
99;2.4;1;34
88;4.8;0.9;47
85;9.3;1.4;38
95;11.8;2.2;32
109;14.5;4.7;39
99;15.9;3.4;30
70;15.6;3.1;16
45;14.9;1.6;3
41;13;1.1;3
42;8.4;0;3
39;5.3;0.9;9
26;10.4;2.4;11
34;7.4;1.5;15
47;5.9;1.4;10
38;8.7;4.2;3
32;8.9;4.5;3
39;7.8;2.6;5
30;5.7;1.5;3
16;3;1.1;3
3;4.9;2.1;13
3;2.2;1;8
3;2.6;1.4;18
9;5.2;1.2;25
11;8.2;3.1;37
15;9.6;1.5;52
10;11.1;1.4;63
3;12;1.7;72
3;13.4;3.5;80
5;14.4;2.9;82
3;15;3.5;93
3;16;3.2;98
13;14.9;3;110
8;12.8;1.8;108
18;10.6;1.6;104
25;8.9;1.3;100
